Date,Open,High,Low,Close,Volume
2019-08-23 06:00:00,106.63,106.657,106.602,106.608,2395
2019-08-23 07:00:00,106.607,106.674,106.568,106.642,3434
2019-08-23 08:00:00,106.6405,106.644,106.584,106.6225,2373
2019-08-23 09:00:00,106.624,106.664,106.608,106.639,2142
2019-08-23 10:00:00,106.64,106.651,106.594,106.6385,2284
2019-08-23 11:00:00,106.6395,106.736,106.628,106.733,2255
2019-08-23 12:00:00,106.732,106.732,106.388,106.506,15255
2019-08-23 13:00:00,106.507,106.536,106.423,106.521,6080
2019-08-23 14:00:00,106.518,106.632,105.982,106.004,17273
2019-08-23 15:00:00,106.005,106.013,105.294,105.294,24990
2019-08-23 16:00:00,105.2955,105.578,105.285,105.41,11072
2019-08-23 17:00:00,105.4085,105.428,105.27,105.3895,8887
2019-08-23 18:00:00,105.3905,105.396,105.254,105.29,6394
2019-08-23 19:00:00,105.291,105.373,105.279,105.3435,7410
2019-08-23 20:00:00,105.345,105.504,105.284,105.406,2138
2019-08-23 21:00:00,105.399,105.399,105.399,105.399,1
2019-08-25 21:00:00,105.024,105.024,104.777,104.8085,650
2019-08-25 22:00:00,104.8125,104.906,104.453,104.8705,7371
2019-08-25 23:00:00,104.869,104.988,104.815,104.8485,4470
2019-08-26 00:00:00,104.85,105.214,104.849,105.1255,11145
2019-08-26 01:00:00,105.1275,105.372,105.128,105.249,10338
2019-08-26 02:00:00,105.25,105.802,105.226,105.49,8174
2019-08-26 03:00:00,105.489,105.506,105.374,105.4495,6170
2019-08-26 04:00:00,105.4505,105.452,105.26,105.2815,7223
2019-08-26 05:00:00,105.28,105.329,105.186,105.25,10485
2019-08-26 06:00:00,105.2485,105.768,105.16,105.636,9665
2019-08-26 07:00:00,105.6375,105.961,105.514,105.74,18750
2019-08-26 08:00:00,105.738,105.994,105.69,105.908,8832
2019-08-26 09:00:00,105.907,105.988,105.672,105.762,9194
2019-08-26 10:00:00,105.761,105.9,105.742,105.822,7222
2019-08-26 11:00:00,105.821,105.938,105.803,105.8855,5449
2019-08-26 12:00:00,105.8845,106.412,105.826,106.1635,7433
2019-08-26 13:00:00,106.162,106.169,105.924,106.0,13974
2019-08-26 14:00:00,106.001,106.091,105.926,105.971,12332
2019-08-26 15:00:00,105.972,106.038,105.944,106.0035,8546
2019-08-26 16:00:00,106.005,106.16,105.96,106.1245,4491
2019-08-26 17:00:00,106.1255,106.298,106.122,106.1485,4153
2019-08-26 18:00:00,106.1495,106.192,106.056,106.192,4004
2019-08-26 19:00:00,106.191,106.204,106.112,106.1425,4013
2019-08-26 20:00:00,106.141,106.164,106.05,106.13,1760
2019-08-26 21:00:00,106.15,106.163,106.09,106.1315,264
2019-08-26 22:00:00,106.129,106.154,106.092,106.1015,743
2019-08-26 23:00:00,106.1,106.125,105.966,105.9675,1449
2019-08-27 00:00:00,105.9665,106.004,105.803,105.8425,5113
2019-08-27 01:00:00,105.841,105.949,105.822,105.8445,6790
2019-08-27 02:00:00,105.8455,105.846,105.682,105.744,4189
2019-08-27 03:00:00,105.745,105.756,105.657,105.666,2137
2019-08-27 04:00:00,105.667,105.757,105.652,105.743,2106
2019-08-27 05:00:00,105.744,105.762,105.658,105.6935,3653
2019-08-27 06:00:00,105.6945,105.739,105.594,105.6535,6524
2019-08-27 07:00:00,105.652,105.742,105.591,105.739,7753
2019-08-27 08:00:00,105.738,105.85,105.718,105.779,5739
2019-08-27 09:00:00,105.7775,105.997,105.717,105.75,8435
2019-08-27 10:00:00,105.749,105.851,105.749,105.8105,4456
2019-08-27 11:00:00,105.809,105.819,105.694,105.751,4277
2019-08-27 12:00:00,105.753,105.866,105.716,105.853,4822
2019-08-27 13:00:00,105.855,106.053,105.81,105.994,7178
2019-08-27 14:00:00,105.995,106.07,105.882,105.9045,7659
2019-08-27 15:00:00,105.906,105.964,105.803,105.8065,5866
2019-08-27 16:00:00,105.8055,105.814,105.658,105.7325,6053
2019-08-27 17:00:00,105.7315,105.804,105.713,105.774,3537
2019-08-27 18:00:00,105.775,105.828,105.746,105.774,2825
2019-08-27 19:00:00,105.7755,105.826,105.728,105.7415,3666
2019-08-27 20:00:00,105.7405,105.785,105.734,105.756,1340
2019-08-27 21:00:00,105.761,105.764,105.7395,105.753,61
2019-08-27 22:00:00,105.755,105.798,105.7405,105.7665,848
2019-08-27 23:00:00,105.768,105.7785,105.697,105.749,1086
2019-08-28 00:00:00,105.748,105.794,105.652,105.7605,5053
2019-08-28 01:00:00,105.7595,105.889,105.73,105.774,5473
2019-08-28 02:00:00,105.773,105.856,105.766,105.83,4447
2019-08-28 03:00:00,105.829,105.894,105.806,105.8505,2912
2019-08-28 04:00:00,105.8485,105.88,105.814,105.85,1735
2019-08-28 05:00:00,105.8485,105.884,105.826,105.8435,2306
2019-08-28 06:00:00,105.8455,105.848,105.787,105.8175,2655
2019-08-28 07:00:00,105.8185,105.818,105.707,105.7415,4999
2019-08-28 08:00:00,105.74,105.872,105.657,105.767,8144
2019-08-28 09:00:00,105.768,105.846,105.728,105.795,5820
2019-08-28 10:00:00,105.794,105.824,105.73,105.743,4174
2019-08-28 11:00:00,105.7445,105.787,105.694,105.7195,4912
2019-08-28 12:00:00,105.718,105.801,105.658,105.773,5352
2019-08-28 13:00:00,105.7715,105.874,105.662,105.844,8765
2019-08-28 14:00:00,105.845,105.951,105.812,105.8955,8670
2019-08-28 15:00:00,105.8945,105.91,105.834,105.8705,5627
2019-08-28 16:00:00,105.869,105.97,105.864,105.963,2581
2019-08-28 17:00:00,105.964,106.01,105.922,105.98,3911
2019-08-28 18:00:00,105.9785,106.07,105.968,106.026,2159
2019-08-28 19:00:00,106.027,106.23,106.026,106.1775,3922
2019-08-28 20:00:00,106.1795,106.206,106.019,106.1195,1878
2019-08-28 21:00:00,106.1105,106.11,105.97,105.992,527
2019-08-28 22:00:00,105.994,106.03,105.982,106.0085,1114
2019-08-28 23:00:00,106.01,106.084,105.96,106.082,2627
2019-08-29 00:00:00,106.081,106.126,105.941,105.992,3894
2019-08-29 01:00:00,105.9905,106.02,105.856,105.8655,5427
2019-08-29 02:00:00,105.8665,105.912,105.828,105.9105,2907
2019-08-29 03:00:00,105.912,105.95,105.86,105.904,1877
2019-08-29 04:00:00,105.9025,105.932,105.882,105.916,1827
2019-08-29 05:00:00,105.9145,105.932,105.856,105.8725,2523
2019-08-29 06:00:00,105.874,105.936,105.862,105.899,3288
2019-08-29 07:00:00,105.898,106.174,105.864,106.1055,12209
2019-08-29 08:00:00,106.1075,106.288,106.069,106.275,6243
2019-08-29 09:00:00,106.2735,106.36,106.216,106.233,5411
2019-08-29 10:00:00,106.234,106.294,106.194,106.262,3439
2019-08-29 11:00:00,106.261,106.306,106.22,106.2565,3387
2019-08-29 12:00:00,106.258,106.405,106.191,106.267,5243
2019-08-29 13:00:00,106.268,106.462,106.212,106.436,7957
2019-08-29 14:00:00,106.434,106.462,106.318,106.4385,9056
2019-08-29 15:00:00,106.4375,106.56,106.417,106.4975,5673
2019-08-29 16:00:00,106.499,106.594,106.463,106.5685,3911
2019-08-29 17:00:00,106.5675,106.615,106.519,106.5755,3599
2019-08-29 18:00:00,106.5775,106.684,106.578,106.6335,3965
2019-08-29 19:00:00,106.635,106.647,106.486,106.5035,2763
2019-08-29 20:00:00,106.502,106.532,106.472,106.516,1306
2019-08-29 21:00:00,106.523,106.532,106.4935,106.5065,119
2019-08-29 22:00:00,106.509,106.538,106.494,106.5015,474
2019-08-29 23:00:00,106.5035,106.544,106.43,106.459,2241
2019-08-30 00:00:00,106.4605,106.545,106.402,106.457,6073
2019-08-30 01:00:00,106.456,106.476,106.382,106.424,4752
2019-08-30 02:00:00,106.4255,106.532,106.422,106.5105,2777
2019-08-30 03:00:00,106.512,106.516,106.469,106.489,1907
2019-08-30 04:00:00,106.49,106.492,106.392,106.3995,1861
2019-08-30 05:00:00,106.3985,106.412,106.342,106.37,3278
2019-08-30 06:00:00,106.371,106.422,106.29,106.3825,5353
2019-08-30 07:00:00,106.384,106.539,106.33,106.5115,8005
2019-08-30 08:00:00,106.513,106.532,106.377,106.411,4507
2019-08-30 09:00:00,106.412,106.445,106.387,106.421,4155
2019-08-30 10:00:00,106.42,106.428,106.379,106.4035,2585
2019-08-30 11:00:00,106.4025,106.404,106.3035,106.3235,3372
2019-08-30 12:00:00,106.3245,106.326,106.175,106.19,5818
2019-08-30 13:00:00,106.1885,106.218,106.131,106.1695,5160
2019-08-30 14:00:00,106.171,106.214,106.105,106.141,7051
2019-08-30 15:00:00,106.143,106.327,106.108,106.294,7470
2019-08-30 16:00:00,106.295,106.375,106.274,106.362,3077
2019-08-30 17:00:00,106.36,106.431,106.341,106.3725,3851
2019-08-30 18:00:00,106.374,106.386,106.237,106.2525,3647
2019-08-30 19:00:00,106.2535,106.3,106.23,106.238,3127
2019-08-30 20:00:00,106.24,106.2995,106.202,106.284,884
2019-08-30 21:00:00,106.277,106.277,106.277,106.277,1
2019-09-01 21:00:00,106.059,106.091,105.97,105.9765,307
2019-09-01 22:00:00,105.973,106.169,105.934,106.1215,2309
2019-09-01 23:00:00,106.12,106.152,106.099,106.136,1686
2019-09-02 00:00:00,106.137,106.206,106.077,106.1075,3187
2019-09-02 01:00:00,106.106,106.23,106.098,106.186,3216
2019-09-02 02:00:00,106.1875,106.242,106.148,106.177,2230
2019-09-02 03:00:00,106.176,106.206,106.146,106.156,1319
2019-09-02 04:00:00,106.157,106.192,106.144,106.189,1225
2019-09-02 05:00:00,106.19,106.2375,106.184,106.2085,1766
2019-09-02 06:00:00,106.207,106.223,106.151,106.171,1894
2019-09-02 07:00:00,106.173,106.298,106.17,106.257,3224
2019-09-02 08:00:00,106.256,106.299,106.242,106.269,2932
2019-09-02 09:00:00,106.2705,106.366,106.27,106.308,2438
2019-09-02 10:00:00,106.3065,106.4,106.292,106.392,2181
2019-09-02 11:00:00,106.3935,106.395,106.312,106.351,1765
2019-09-02 12:00:00,106.352,106.3805,106.351,106.3715,1356
2019-09-02 13:00:00,106.3725,106.388,106.32,106.335,2098
2019-09-02 14:00:00,106.333,106.351,106.254,106.2535,1840
2019-09-02 15:00:00,106.2545,106.29,106.108,106.2005,2740
2019-09-02 16:00:00,106.202,106.204,106.058,106.138,2027
2019-09-02 17:00:00,106.1395,106.1725,106.124,106.158,490
2019-09-02 18:00:00,106.1565,106.198,106.148,106.1945,167
2019-09-02 19:00:00,106.1925,106.206,106.184,106.203,270
2019-09-02 20:00:00,106.201,106.224,106.196,106.215,1046
2019-09-02 21:00:00,106.236,106.259,106.178,106.2,233
2019-09-02 22:00:00,106.2025,106.211,106.174,106.203,737
2019-09-02 23:00:00,106.202,106.215,106.171,106.1955,915
2019-09-03 00:00:00,106.197,106.304,106.197,106.2705,2902
2019-09-03 01:00:00,106.272,106.382,106.232,106.3495,4716
2019-09-03 02:00:00,106.3485,106.386,106.304,106.3795,2446
2019-09-03 03:00:00,106.378,106.378,106.28,106.3025,2004
2019-09-03 04:00:00,106.3045,106.347,106.292,106.2965,1695
2019-09-03 05:00:00,106.298,106.314,106.223,106.2415,2649
2019-09-03 06:00:00,106.2425,106.313,106.14,106.2205,5041
